[USGS-raw_LOC],SHEF_LOC,DSS_A-PART,DSS_B-PART,DSS_F-PART,DSS_SUB-LOCATIONS,DSS_SUB-PARAMETERS,CWMS_LOC,CWMS_VER,CWMS_SUB-LOCATIONS,CWMS_SUB-PARAMETERS,PARAMETERS
[03298000],Fisherville,SALT,Fisherville,USGS-raw,,,Fisherville,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03301000],Bardstown,SALT,Bardstown,USGS-raw,,,Bardstown,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03301500],Boston,SALT,Boston,USGS-raw,,,Boston,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03298470],FloydsFk,SALT,FloydsFk,USGS-raw,,,FloydsFk,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03295400],Glensboro,SALT,Glensboro,USGS-raw,,,Glensboro,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03301630],LebanonJunction,SALT,LebanonJunction,USGS-raw,,,LebanonJunction,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03298500],Shepherdsville,SALT,Shepherdsville,USGS-raw,,,Shepherdsville,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
[03295890],Taylorsville,SALT,Taylorsville,USGS-raw,,,Taylorsville,USGS-raw,,,"Flow,Stage,Precip,Water Temp"
