[USGS_LOC],SHEF_LOC,DSS_A-PART,DSS_B-PART,DSS_F-PART,PARAMETERS
[03157000],xxxxx,,Rockbridge,USGS-raw,"Stage,Flow"
[03157500],xxxxx,,Enterprise,USGS-raw,"Stage,Flow"
[03159000],xxxxx,,Glouster,USGS-raw,"Stage,Flow"
[03159500],xxxxx,,Athens,USGS-raw,"Stage,Flow"
