[USGS_LOC],SHEF_LOC,DSS_A-PART,DSS_B-PART,DSS_F-PART,PARAMETERS
[03599419],DUCKR,,DUCKR POTTSVILLE,DCP-REV,"Stage,Flow"
[03599450],FNHT1,,FNHT1-FOUNTAINCR-NRFOUNTAINHEIGHTSTN,DCP-REV,"Stage,Flow"
[03599500],COLT1,,COLT1-DUCKR-COLUMBIATN,DCP-REV,"Stage,Flow"
[03600358],DUCKR,,DUCKR WILLIAMSPT,DCP-REV,"Stage,Flow"
[03601600],DUCKR,,DUCKR SHADYGROVE,DCP-REV,"Stage,Flow"
[03601990],CNVT1,,CNVT1-DUCKR-CENTERVILLETN,DCP-REV,"Stage,Flow"
[03602500],VERT1,,VERT1-PINEYR-VERNONTN,DCP-REV,"Stage,Flow"
[03603000],HMLT1,,HMLT1-DUCKR-ABVHURRICANEMILLSTN,DCP-REV,"Stage,Flow"
[03604000],FLTT1,,FLTT1-BUFFALOR-NRFLATWOODSTN,DCP-REV,"Stage,Flow"
[03604400],LBVT1,,LBVT1-BUFFALOR-BLWLOBELVILLETN,DCP-REV,"Stage,Flow"
[03437495],HORT1,,HORT1-HORSECR-NRSAVANNAHTN,DCP-REV,"Stage,Flow"
[03594421],BCHT1,,BCHT1-BEECHR-NRLEXINGTONTN,DCP-REV,"Stage,Flow"
[03606500],BIGT1,,BIGT1-BIGSANDYR-BRUCETONTN,DCP-REV,"Stage,Flow"
[03605078],CMTT1,,CMTT1-CYPRESSCR-CAMDENTN,DCP-REV,"Stage,Flow"
[03610200],AMOK2,,AMOK2-CLARKSR-ALMOKY,DCP-REV,"Stage,Flow"
