INDEP,DEP
4.09,863.69
4.10,870.98
4.11,878.31
4.12,885.69
4.13,893.11
4.14,900.58
4.15,908.09
4.16,915.64
4.17,923.24
4.18,930.89
4.19,938.58
4.20,946.31
4.21,954.09
4.22,961.91
4.23,969.78
4.24,977.70
4.25,985.66
4.26,993.67
4.27,1001.72
4.28,1009.82
4.29,1017.96
4.30,1026.15
4.31,1034.39
4.32,1042.68
4.33,1051.01
4.34,1059.39
4.35,1067.82
4.36,1076.29
4.37,1084.81
4.38,1093.38
4.39,1102.00
4.40,1110.67
4.41,1119.38
4.42,1128.14
4.43,1136.95
4.44,1145.81
4.45,1154.72
4.46,1163.68
4.47,1172.68
4.48,1181.74
4.49,1190.84
4.50,1200.00
4.51,1207.96
4.52,1215.96
4.53,1223.99
4.54,1232.06
4.55,1240.16
4.56,1248.30
4.57,1256.47
4.58,1264.68
4.59,1272.92
4.60,1281.20
4.61,1289.52
4.62,1297.87
4.63,1306.26
4.64,1314.68
4.65,1323.14
4.66,1331.64
4.67,1340.17
4.68,1348.73
4.69,1357.34
4.70,1365.98
4.71,1374.66
4.72,1383.37
4.73,1392.12
4.74,1400.90
4.75,1409.73
4.76,1418.59
4.77,1427.49
4.78,1436.42
4.79,1445.39
4.80,1454.40
4.81,1463.44
4.82,1472.53
4.83,1481.65
4.84,1490.80
4.85,1500.00
4.86,1506.56
4.87,1513.14
4.88,1519.73
4.89,1526.33
4.90,1532.95
4.91,1539.59
4.92,1546.24
4.93,1552.91
4.94,1559.59
4.95,1566.29
4.96,1573.00
4.97,1579.73
4.98,1586.47
4.99,1593.23
5.00,1600.00
5.01,1610.58
5.02,1621.20
5.03,1631.88
5.04,1642.60
5.05,1653.38
5.06,1664.20
5.07,1675.07
5.08,1685.99
5.09,1696.96
5.10,1707.98
5.11,1719.06
5.12,1730.18
5.13,1741.35
5.14,1752.57
5.15,1763.84
5.16,1775.16
5.17,1786.53
5.18,1797.95
5.19,1809.42
5.20,1820.95
5.21,1832.52
5.22,1844.15
5.23,1855.82
5.24,1867.55
5.25,1879.33
5.26,1891.17
5.27,1903.05
5.28,1914.99
5.29,1926.97
5.30,1939.01
5.31,1951.11
5.32,1963.25
5.33,1975.45
5.34,1987.70
5.35,2000.00
5.36,2011.46
5.37,2022.97
5.38,2034.52
5.39,2046.11
5.40,2057.75
5.41,2069.44
5.42,2081.17
5.43,2092.94
5.44,2104.76
5.45,2116.62
5.46,2128.53
5.47,2140.48
5.48,2152.48
5.49,2164.52
5.50,2176.61
5.51,2188.74
5.52,2200.92
5.53,2213.15
5.54,2225.42
5.55,2237.73
5.56,2250.09
