INDEP,DEP
5.20,756.01
5.21,759.63
5.22,763.25
5.23,766.88
5.24,770.52
5.25,774.17
5.26,777.83
5.27,781.51
5.28,785.19
5.29,788.88
5.30,792.59
5.31,796.30
5.32,800.03
5.33,803.76
5.34,807.51
5.35,811.26
5.36,815.03
5.37,818.80
5.38,822.59
5.39,826.39
5.40,830.19
5.41,834.01
5.42,837.84
5.43,841.68
5.44,845.53
5.45,849.39
5.46,853.26
5.47,857.14
5.48,861.03
5.49,864.94
5.50,868.85
5.51,872.77
5.52,876.70
5.53,880.65
5.54,884.60
5.55,888.57
5.56,892.55
5.57,896.53
5.58,900.53
5.59,904.54
5.60,908.56
5.61,912.58
5.62,916.62
5.63,920.67
5.64,924.74
5.65,928.81
5.66,932.89
5.67,936.98
5.68,941.09
5.69,945.20
5.70,949.33
5.71,953.46
5.72,957.61
5.73,961.77
5.74,965.93
5.75,970.11
5.76,974.30
5.77,978.50
5.78,982.72
5.79,986.94
5.80,991.17
5.81,995.41
5.82,999.67
5.83,1003.93
5.84,1008.21
5.85,1012.50
5.86,1016.79
5.87,1021.10
5.88,1025.42
5.89,1029.75
5.90,1034.10
5.91,1038.45
5.92,1042.81
5.93,1047.18
5.94,1051.57
5.95,1055.97
5.96,1060.37
5.97,1064.79
5.98,1069.22
5.99,1073.84
6.00,1078.47
6.01,1083.12
6.02,1087.78
6.03,1092.45
6.04,1097.13
6.05,1101.82
6.06,1106.53
6.07,1111.25
6.08,1115.98
6.09,1120.72
6.10,1125.48
6.11,1130.25
6.12,1135.03
6.13,1139.82
6.14,1144.63
6.15,1149.45
6.16,1154.28
6.17,1159.12
6.18,1163.97
6.19,1168.84
6.20,1173.72
6.21,1178.61
6.22,1183.52
6.23,1188.44
6.24,1193.37
6.25,1198.31
6.26,1203.26
6.27,1208.23
6.28,1213.21
6.29,1218.20
6.30,1223.21
6.31,1228.23
6.32,1233.26
6.33,1238.30
6.34,1243.35
6.35,1248.42
6.36,1253.50
6.37,1258.60
6.38,1263.70
6.39,1268.82
6.40,1273.95
6.41,1279.10
6.42,1284.25
6.43,1289.42
6.44,1294.60
6.45,1299.80
6.46,1305.01
6.47,1310.23
6.48,1315.46
6.49,1320.71
6.50,1325.97
6.51,1331.24
6.52,1336.52
6.53,1341.82
6.54,1347.13
6.55,1352.45
6.56,1357.79
6.57,1363.14
6.58,1368.50
6.59,1373.87
6.60,1379.26
6.61,1384.66
6.62,1390.07
6.63,1395.50
6.64,1400.94
6.65,1406.39
6.66,1411.86
6.67,1417.33
6.68,1422.82
6.69,1428.33
6.70,1433.85
6.71,1439.38
6.72,1444.92
6.73,1450.48
6.74,1456.04
6.75,1461.63
6.76,1467.22
6.77,1472.83
6.78,1478.45
6.79,1484.09
6.80,1489.74
6.81,1495.40
6.82,1501.07
6.83,1506.76
6.84,1512.46
6.85,1518.17
6.86,1523.90
6.87,1529.64
6.88,1535.39
6.89,1541.16
6.90,1546.94
6.91,1552.12
6.92,1557.30
6.93,1562.50
6.94,1567.71
6.95,1572.92
6.96,1578.15
6.97,1583.38
6.98,1588.63
6.99,1593.88
7.00,1599.15
7.01,1604.42
7.02,1609.71
7.03,1615.00
7.04,1620.31
7.05,1625.62
7.06,1630.94
7.07,1636.28
7.08,1641.62
7.09,1646.98
7.10,1652.34
7.11,1657.71
7.12,1663.10
7.13,1668.49
7.14,1673.89
7.15,1679.31
7.16,1684.73
7.17,1690.16
7.18,1695.60
7.19,1701.06
7.20,1706.52
7.21,1711.99
7.22,1717.47
7.23,1722.97
7.24,1728.47
7.25,1733.98
7.26,1739.50
7.27,1745.03
7.28,1750.58
7.29,1756.13
7.30,1761.69
7.31,1767.26
7.32,1772.84
7.33,1778.44
7.34,1784.04
7.35,1789.65
7.36,1795.27
7.37,1800.90
7.38,1806.55
7.39,1812.20
7.40,1817.86
7.41,1823.53
7.42,1829.21
7.43,1834.90
7.44,1840.61
7.45,1846.32
7.46,1852.04
7.47,1857.77
7.48,1863.51
7.49,1869.27
7.50,1875.03
7.51,1880.80
7.52,1886.58
7.53,1892.37
7.54,1898.18
7.55,1903.99
7.56,1909.81
7.57,1915.64
7.58,1921.49
7.59,1927.34
7.60,1933.20
7.61,1939.07
7.62,1944.96
7.63,1950.85
7.64,1956.75
7.65,1962.67
7.66,1968.59
7.67,1974.52
7.68,1980.47
7.69,1986.42
7.70,1992.38
7.71,1998.36
7.72,2004.34
7.73,2010.34
7.74,2016.34
7.75,2022.36
7.76,2028.38
7.77,2034.42
7.78,2040.46
7.79,2046.52
7.80,2052.58
7.81,2058.66
7.82,2064.74
7.83,2070.84
7.84,2076.94
7.85,2083.06
7.86,2089.40
7.87,2095.76
7.88,2102.12
7.89,2108.50
7.90,2114.89
7.91,2121.28
7.92,2127.69
7.93,2134.12
7.94,2140.55
7.95,2146.99
7.96,2153.45
7.97,2159.91
7.98,2166.39
7.99,2172.88
8.00,2179.38
8.01,2185.89
8.02,2192.41
8.03,2198.95
8.04,2205.49
8.05,2212.05
8.06,2218.62
8.07,2225.20
8.08,2231.79
8.09,2238.39
8.10,2245.00
8.11,2251.63
8.12,2258.26
8.13,2264.91
8.14,2271.57
8.15,2278.24
8.16,2284.92
8.17,2291.61
8.18,2298.32
8.19,2305.03
8.20,2311.76
8.21,2318.50
8.22,2325.25
8.23,2332.01
8.24,2338.78
8.25,2345.57
8.26,2352.36
8.27,2359.17
8.28,2365.99
8.29,2372.82
8.30,2379.66
8.31,2386.51
8.32,2393.37
8.33,2400.25
8.34,2407.14
8.35,2414.03
8.36,2420.94
8.37,2427.87
8.38,2434.80
8.39,2441.74
8.40,2448.70
8.41,2455.67
8.42,2462.64
8.43,2469.63
8.44,2476.64
8.45,2483.65
8.46,2490.68
8.47,2497.71
8.48,2504.76
8.49,2511.82
8.50,2518.89
8.51,2525.97
8.52,2533.07
8.53,2540.17
8.54,2547.29
8.55,2554.42
8.56,2561.56
8.57,2568.71
8.58,2575.88
8.59,2583.05
8.60,2590.24
8.61,2597.44
8.62,2604.65
8.63,2611.87
8.64,2619.10
8.65,2626.35
8.66,2633.60
8.67,2640.87
8.68,2648.15
8.69,2655.44
8.70,2662.75
8.71,2670.06
8.72,2677.39
8.73,2684.73
8.74,2692.08
8.75,2699.44
8.76,2706.81
8.77,2714.20
8.78,2721.59
8.79,2729.00
8.80,2736.42
8.81,2743.85
8.82,2751.30
8.83,2758.75
8.84,2766.22
8.85,2773.70
8.86,2781.19
8.87,2788.69
8.88,2796.21
8.89,2803.73
8.90,2811.27
8.91,2818.82
8.92,2826.38
8.93,2833.95
8.94,2841.54
8.95,2849.13
8.96,2856.74
8.97,2864.36
8.98,2871.99
8.99,2879.64
9.00,2887.29
9.01,2894.96
9.02,2902.64
9.03,2910.33
9.04,2918.03
9.05,2925.75
9.06,2933.47
9.07,2941.21
9.08,2948.96
9.09,2956.72
9.10,2964.50
9.11,2972.28
9.12,2980.08
9.13,2987.89
9.14,2995.71
9.15,3003.54
9.16,3011.39
9.17,3019.25
9.18,3027.12
9.19,3035.00
9.20,3042.89
9.21,3050.79
9.22,3058.71
9.23,3066.64
9.24,3074.58
9.25,3082.53
9.26,3090.50
9.27,3098.47
9.28,3106.46
9.29,3114.46
9.30,3122.47
9.31,3130.50
9.32,3138.53
9.33,3146.58
9.34,3154.64
9.35,3162.71
9.36,3170.80
9.37,3178.89
9.38,3187.00
9.39,3195.13
9.40,3203.28
9.41,3211.43
9.42,3219.60
9.43,3227.78
9.44,3235.98
9.45,3244.18
9.46,3252.40
9.47,3260.63
9.48,3268.87
9.49,3277.12
9.50,3285.39
9.51,3293.67
9.52,3301.96
9.53,3310.26
9.54,3318.57
9.55,3326.90
9.56,3335.24
9.57,3343.59
9.58,3351.95
9.59,3360.33
9.60,3368.72
9.61,3377.11
9.62,3385.53
9.63,3393.95
9.64,3402.39
9.65,3410.83
9.66,3419.29
9.67,3427.77
9.68,3436.25
9.69,3444.75
9.70,3453.26
9.71,3461.78
9.72,3470.31
9.73,3478.86
9.74,3487.42
9.75,3495.99
9.76,3504.57
9.77,3513.16
9.78,3521.77
9.79,3530.39
9.80,3539.02
9.81,3547.66
9.82,3556.32
9.83,3564.99
9.84,3573.67
9.85,3582.36
9.86,3591.07
9.87,3599.78
9.88,3608.51
9.89,3617.26
9.90,3626.01
9.91,3634.78
9.92,3643.56
9.93,3652.35
9.94,3661.15
9.95,3669.97
9.96,3678.80
9.97,3687.64
9.98,3696.49
9.99,3705.36
10.00,3714.23
10.01,3723.12
10.02,3732.03
10.03,3740.94
10.04,3749.87
10.05,3758.81
10.06,3767.76
10.07,3776.72
10.08,3785.70
10.09,3794.69
10.10,3803.69
10.11,3812.71
10.12,3821.73
10.13,3830.77
10.14,3839.82
